"location_id","year_id","physicians","nurses","uhc","uhc_variance"
6,1990,8.49842046320929,7.45845111599671,0.533303807890076,5.06312857774481e-05
6,1991,9.18464518690433,7.94901849278295,0.537839300612084,5.09746719618596e-05
6,1992,9.85826704534971,8.47430187980049,0.542701154053293,5.13052573361179e-05
6,1993,10.5438099556184,9.03459370508149,0.550866928769844,5.04079322168456e-05
6,1994,11.2545207804726,9.6275836090468,0.560277082397172,4.72743613299731e-05
6,1995,12.0900085462187,10.2675277182675,0.569384493374686,4.78278472518279e-05
6,1996,13.0133771636296,10.9671630423882,0.5783835464369,4.79392321867638e-05
6,1997,13.9806700726777,11.7976528461868,0.588217427156091,4.63131388247217e-05
6,1998,14.9028548758443,12.6103775574924,0.598185756549758,4.81704856524117e-05
6,1999,15.7990226787157,13.4512634122228,0.607550474574269,4.60043017396564e-05
6,2000,16.702135587944,14.3241186926338,0.61847391013357,4.32759058106834e-05
6,2001,17.4912978823744,15.0886922985984,0.630262386704582,3.13711944038898e-05
6,2002,18.2547312076767,16.0827085843153,0.661126114285066,3.06720689564454e-05
6,2003,19.0147025323109,17.1966770069082,0.677697591891594,2.42536389570362e-05
6,2004,19.882000659423,18.3308087447309,0.687994926843035,2.38480083404088e-05
6,2005,20.8788976098641,19.4980358999609,0.698838772016739,2.2647421131809e-05
6,2006,21.991425804067,20.8367596470919,0.715350461651757,2.02714638956825e-05
6,2007,23.2365008328344,22.4813852181862,0.729427795693475,2.00631871474755e-05
6,2008,24.4573272359464,24.2846943121263,0.740424122910637,2.20936213143396e-05
6,2009,25.9420449196273,26.6882179783661,0.749069099200482,2.21245975067574e-05
6,2010,27.443546376621,29.0385692889584,0.758819484073228,2.27272233419359e-05
6,2011,28.8176239499939,31.4274181184058,0.768048712904892,2.5361380423374e-05
6,2012,29.8331795816678,33.7148904488711,0.774564801823482,2.50094515877299e-05
6,2013,30.6147641745887,35.7886349062367,0.780266353676108,2.47187641132296e-05
6,2014,31.7607942729352,37.975865925011,0.783098367546692,2.41483147647122e-05
6,2015,32.2536247873971,40.5382014662921,0.783519744848726,2.47444557275661e-05
6,2016,32.3192212482906,42.2834783758995,0.791221878604483,2.42263099276531e-05
6,2017,33.7495500166714,43.7266634305738,0.804039214063992,2.32639379525189e-05
7,1990,1.83163239624992,11.900947373493,0.611058832571937,0.000244602856300887
7,1991,1.88044682152235,11.6864362255309,0.612447090205499,0.000237977413741328
7,1992,1.9174990459779,11.4514300162438,0.612970193773146,0.000225713935063369
7,1993,1.94804940264803,11.2093685815719,0.612606538443257,0.000222587819117649
7,1994,1.94586976455539,10.9277192436061,0.609052859401097,0.000224936708429754
7,1995,1.92956215423597,10.6434012816513,0.602641809606504,0.000207925895411559
7,1996,1.89976178158017,10.3472087589936,0.59505119627873,0.000198311734292023
7,1997,1.8605054471566,10.0066712012793,0.58632216616928,0.000203735771973649
7,1998,1.81826761569592,9.68882713915927,0.576266232672365,0.000193028939139338
7,1999,1.77641815070393,9.40002912281268,0.576047089529342,0.000193619453660895
7,2000,1.73852917330652,9.18008432981841,0.571596696514114,0.000193891260752578
7,2001,1.69819821961771,9.00554845450277,0.567208677827923,0.000186565417442612
7,2002,1.67108628308412,8.89537203447593,0.583076244210595,0.000180138187939083
7,2003,1.65842956581846,8.85782071049644,0.585501608568541,0.000178224452484292
7,2004,1.6587059936952,8.8858890365727,0.589574335797566,0.000175073120879639
7,2005,1.67294693758926,8.93654816233559,0.594163688643863,0.000173142315284262
7,2006,1.69259260428985,9.00392707921046,0.599316831142885,0.000170178250925139
7,2007,1.72255523692629,9.09930060899012,0.604233040754604,0.000165064030685112
7,2008,1.7618468620587,9.24546832883531,0.620171140447904,0.000161746368897752
7,2009,1.79732913770929,9.42564106273589,0.624114771272725,0.000161014003978707
7,2010,1.84005737824703,9.62792125310793,0.628179635742194,0.000158199657519982
7,2011,1.88528068383322,9.80402619206943,0.630537842504629,0.000164982116470964
7,2012,1.93085123123768,9.98544963654577,0.633285418151339,0.000163685734568292
7,2013,1.97921080753023,10.1807711755477,0.63327133532926,0.0001780981883409
7,2014,2.02845454993225,10.3959853260756,0.635896317409555,0.000184418084283509
7,2015,2.07565586300902,10.5734898579179,0.638045944380983,0.00017996090517538
7,2016,2.12182403360973,10.6888705528702,0.642645321235824,0.000192474073672982
7,2017,2.17332905484366,10.8379651280622,0.646742747914558,0.000203123676077327
8,1990,2.61297079268686,17.1704587461177,0.727247904656967,3.1639092970531e-05
8,1991,2.75174419595368,17.8071925694844,0.739007906676424,2.7352449912404e-05
8,1992,2.87779835982614,18.4913704400201,0.748309748425252,2.41369373748005e-05
8,1993,3.01381743243726,19.2470604628461,0.755571846474941,2.13854450000829e-05
8,1994,3.16621800474291,20.1152287711303,0.761194067325645,1.89855711175166e-05
8,1995,3.32707233510181,21.1025292448692,0.762423017174541,1.79049564199522e-05
8,1996,3.5143290495756,22.3252379029933,0.766409083325406,1.64137528405256e-05
8,1997,3.74379972765908,23.4157949764026,0.774770871653934,1.38649005181845e-05
8,1998,3.95698633549599,24.4356656576231,0.783780703936211,1.21631751507649e-05
8,1999,4.10852350629494,25.5600986663189,0.792075091658814,1.19094546102969e-05
8,2000,4.28848125600763,26.6149881401667,0.79618934814597,1.1167051096578e-05
8,2001,4.51631851962171,27.4251878230089,0.801454460147897,1.10495637285193e-05
8,2002,4.75020127176027,28.8993797136015,0.827113911253842,1.06484580123214e-05
8,2003,4.9762103534548,30.1583816587214,0.833160297991881,1.01897491458495e-05
